LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	PASSCAR	TOT	IDX2015	M	2009-10	108.3083988	
AUS	PASSCAR	TOT	IDX2015	M	2009-11	109.5068094	
AUS	PASSCAR	TOT	IDX2015	M	2009-12	108.4922326	
AUS	PASSCAR	TOT	IDX2015	M	2010-01	101.4111382	
AUS	PASSCAR	TOT	IDX2015	M	2010-02	111.2986079	
AUS	PASSCAR	TOT	IDX2015	M	2010-03	125.0000485	
AUS	PASSCAR	TOT	IDX2015	M	2010-04	109.7325295	
AUS	PASSCAR	TOT	IDX2015	M	2010-05	117.3977036	
AUS	PASSCAR	TOT	IDX2015	M	2010-06	141.5288074	
AUS	PASSCAR	TOT	IDX2015	M	2010-07	110.7447793	
AUS	PASSCAR	TOT	IDX2015	M	2010-08	108.2153183	
AUS	PASSCAR	TOT	IDX2015	M	2010-09	113.4720361	
AUS	PASSCAR	TOT	IDX2015	M	2010-10	105.3391328	
AUS	PASSCAR	TOT	IDX2015	M	2010-11	114.9659772	
AUS	PASSCAR	TOT	IDX2015	M	2010-12	118.7683131	
AUS	PASSCAR	TOT	IDX2015	M	2011-01	101.3157308	
AUS	PASSCAR	TOT	IDX2015	M	2011-02	105.7742838	
AUS	PASSCAR	TOT	IDX2015	M	2011-03	116.8811072	
AUS	PASSCAR	TOT	IDX2015	M	2011-04	96.72221113	
AUS	PASSCAR	TOT	IDX2015	M	2011-05	99.07714623	
AUS	PASSCAR	TOT	IDX2015	M	2011-06	126.4078901	
AUS	PASSCAR	TOT	IDX2015	M	2011-07	106.3467285	
AUS	PASSCAR	TOT	IDX2015	M	2011-08	112.6808524	
AUS	PASSCAR	TOT	IDX2015	M	2011-09	110.9984235	
AUS	PASSCAR	TOT	IDX2015	M	2011-10	110.6167937	
AUS	PASSCAR	TOT	IDX2015	M	2011-11	108.6993366	
AUS	PASSCAR	TOT	IDX2015	M	2011-12	106.4933302	
AUS	PASSCAR	TOT	IDX2015	M	2012-01	99.02595199	
AUS	PASSCAR	TOT	IDX2015	M	2012-02	107.086718	
AUS	PASSCAR	TOT	IDX2015	M	2012-03	119.0522084	
AUS	PASSCAR	TOT	IDX2015	M	2012-04	94.23463639	
AUS	PASSCAR	TOT	IDX2015	M	2012-05	112.7390277	
AUS	PASSCAR	TOT	IDX2015	M	2012-06	133.6611833	
AUS	PASSCAR	TOT	IDX2015	M	2012-07	100.8852338	
AUS	PASSCAR	TOT	IDX2015	M	2012-08	108.4666355	
AUS	PASSCAR	TOT	IDX2015	M	2012-09	114.51221	
AUS	PASSCAR	TOT	IDX2015	M	2012-10	114.7006979	
AUS	PASSCAR	TOT	IDX2015	M	2012-11	120.1947708	
AUS	PASSCAR	TOT	IDX2015	M	2012-12	117.7886415	
AUS	PASSCAR	TOT	IDX2015	M	2013-01	97.63439943	
AUS	PASSCAR	TOT	IDX2015	M	2013-02	100.8480016	
AUS	PASSCAR	TOT	IDX2015	M	2013-03	113.241662	
AUS	PASSCAR	TOT	IDX2015	M	2013-04	99.69845816	
AUS	PASSCAR	TOT	IDX2015	M	2013-05	108.8436113	
AUS	PASSCAR	TOT	IDX2015	M	2013-06	134.1196045	
AUS	PASSCAR	TOT	IDX2015	M	2013-07	107.7824943	
AUS	PASSCAR	TOT	IDX2015	M	2013-08	111.8361474	
AUS	PASSCAR	TOT	IDX2015	M	2013-09	109.7162404	
AUS	PASSCAR	TOT	IDX2015	M	2013-10	109.2275681	
AUS	PASSCAR	TOT	IDX2015	M	2013-11	114.2306417	
AUS	PASSCAR	TOT	IDX2015	M	2013-12	110.9658453	
AUS	PASSCAR	TOT	IDX2015	M	2014-01	96.8641588	
AUS	PASSCAR	TOT	IDX2015	M	2014-02	101.576356	
AUS	PASSCAR	TOT	IDX2015	M	2014-03	109.5533496	
AUS	PASSCAR	TOT	IDX2015	M	2014-04	90.81625727	
AUS	PASSCAR	TOT	IDX2015	M	2014-05	101.9672939	
AUS	PASSCAR	TOT	IDX2015	M	2014-06	125.2955789	
AUS	PASSCAR	TOT	IDX2015	M	2014-07	101.141205	
AUS	PASSCAR	TOT	IDX2015	M	2014-08	99.26563412	
AUS	PASSCAR	TOT	IDX2015	M	2014-09	105.1669339	
AUS	PASSCAR	TOT	IDX2015	M	2014-10	100.3546753	
AUS	PASSCAR	TOT	IDX2015	M	2014-11	100.2080736	
AUS	PASSCAR	TOT	IDX2015	M	2014-12	104.8341714	
AUS	PASSCAR	TOT	IDX2015	M	2015-01	92.61270975	
AUS	PASSCAR	TOT	IDX2015	M	2015-02	94.88387246	
AUS	PASSCAR	TOT	IDX2015	M	2015-03	112.1270238	
AUS	PASSCAR	TOT	IDX2015	M	2015-04	81.48028925	
AUS	PASSCAR	TOT	IDX2015	M	2015-05	94.45802945	
AUS	PASSCAR	TOT	IDX2015	M	2015-06	131.2108408	
AUS	PASSCAR	TOT	IDX2015	M	2015-07	96.38479453	
AUS	PASSCAR	TOT	IDX2015	M	2015-08	94.64651734	
AUS	PASSCAR	TOT	IDX2015	M	2015-09	107.2379737	
AUS	PASSCAR	TOT	IDX2015	M	2015-10	95.07236035	
AUS	PASSCAR	TOT	IDX2015	M	2015-11	97.09685989	
AUS	PASSCAR	TOT	IDX2015	M	2015-12	102.7887287	
AUS	PASSCAR	TOT	IDX2015	M	2016-01	81.94336443	
AUS	PASSCAR	TOT	IDX2015	M	2016-02	92.0519001	
AUS	PASSCAR	TOT	IDX2015	M	2016-03	101.578683	
AUS	PASSCAR	TOT	IDX2015	M	2016-04	85.33381942	
AUS	PASSCAR	TOT	IDX2015	M	2016-05	88.94301344	
AUS	PASSCAR	TOT	IDX2015	M	2016-06	125.2676547	
AUS	PASSCAR	TOT	IDX2015	M	2016-07	88.50320837	
AUS	PASSCAR	TOT	IDX2015	M	2016-08	90.62544237	
AUS	PASSCAR	TOT	IDX2015	M	2016-09	97.91131373	
AUS	PASSCAR	TOT	IDX2015	M	2016-10	88.000574	
AUS	PASSCAR	TOT	IDX2015	M	2016-11	92.73604133	
AUS	PASSCAR	TOT	IDX2015	M	2016-12	98.63036012	
AUS	PASSCAR	TOT	IDX2015	M	2017-01	81.2592232	
AUS	PASSCAR	TOT	IDX2015	M	2017-02	80.84036123	
AUS	PASSCAR	TOT	IDX2015	M	2017-03	90.68827167	
AUS	PASSCAR	TOT	IDX2015	M	2017-04	74.80642177	
AUS	PASSCAR	TOT	IDX2015	M	2017-05	90.38576024	
AUS	PASSCAR	TOT	IDX2015	M	2017-06	117.8537978	
AUS	PASSCAR	TOT	IDX2015	M	2017-07	83.28837677	
AUS	PASSCAR	TOT	IDX2015	M	2017-08	83.15108313	
AUS	PASSCAR	TOT	IDX2015	M	2017-09	88.76848762	
AUS	PASSCAR	TOT	IDX2015	M	2017-10	84.6938914	
AUS	PASSCAR	TOT	IDX2015	M	2017-11	85.93418825	
AUS	PASSCAR	TOT	IDX2015	M	2017-12	85.51299927	
AUS	PASSCAR	TOT	IDX2015	M	2018-01	74.13856963	E
AUS	PASSCAR	TOT	IDX2015	M	2018-02	80.25860849	E
AUS	PASSCAR	TOT	IDX2015	M	2018-03	84.05163637	E
AUS	PASSCAR	TOT	IDX2015	M	2018-04	64.06959314	E
AUS	PASSCAR	TOT	IDX2015	M	2018-05	76.29338179	
